url,title,description
https://baike.baidu.com/item/%E6%AD%A6%E5%86%85%E5%B4%87/885279,武内崇,武内崇（1973年8月28日－）本名为竹内友崇，为游戏公司“ノーツ(TYPE-MOON是游戏品牌)”的社长与原画师，和奈须蘑菇同为“TYPE-MOON”的核心人物，两人为中学以来的好友。
https://baike.baidu.com/item/%E5%A5%A5%E5%B0%94%E5%8A%A0%E7%8E%9B%E4%B8%BD%C2%B7%E4%BA%9A%E6%96%AF%E5%AF%86%E9%9B%B7%E7%89%B9%C2%B7%E9%98%BF%E5%B0%BC%E5%A7%86%E6%96%AF%E8%8F%B2%E4%BA%9A/20255976,奥尔加玛丽·亚斯密雷特·阿尼姆斯菲亚,奥尔加玛丽·亚斯密雷特·阿尼姆斯菲亚是TYPE-MOON旗下的《Fate》系列及其衍生作品的登场角色。在游戏《Fate/Grand Order》中初次登场，之后又在小说《君主·埃尔梅罗Ⅱ世事件簿》的第四卷中出场。
https://baike.baidu.com/item/%E4%BB%A4%E5%92%92/6469681,令咒,令咒（Command Spell）是TYPE-MOON的Fate系列作品内的专用词。它是浮现在身体上的魔术结晶。拥有可以让从者服从的绝对命令权，御主专属的印记。圣杯的出现会给成为御主的魔术师们一些预兆，也就是圣痕这类的标记。令咒就是由这个转变而来。
https://baike.baidu.com/item/%E8%97%A4%E4%B8%B8%E7%AB%8B%E9%A6%99/20312414,藤丸立香,日本TYPE-MOON公司《Fate/Grand Order》手机游戏、动画和漫画中的主人公，也是玩家所扮演的角色。无论男女，均使用“藤丸立香”的官方名，两人通称“咕哒”。外貌设定上，男主人公参考自男化远坂凛，女主人公参考自娘化卫宫士郎。人理延续保障机构迦勒底的御主，被赋予了“守护人理”的冠位指定（Grand Order），具有拯救世界的功绩。
https://baike.baidu.com/item/%E7%8E%9B%E4%BF%AE%C2%B7%E5%9F%BA%E5%88%97%E8%8E%B1%E7%89%B9/20117280,玛修·基列莱特,于TYPE-MOON推出的安卓&iOS游戏《Fate/Grand Order》中作为初始Servant而初次登场。迦勒底局成员——玛修·基列莱特，与从者附体融合后的模样。被称为亚从者[Demi-Servant]。
https://baike.baidu.com/item/Fate%2FGrand%20Order%20-First%20Order-/20185193,Fate/Grand Order（Lay-duce改编的TV动画）,《Fate/Grand Order -First Order-》是改编自TYPE-MOON发行的同名游戏《Fate/Grand Order》的电视动画，由Lay-duce制作，难波日登志担任导演，剧情改编自游戏主线故事·第一部·序章，于2016年12月31日在TOKYO MX、NicoNico等电视台及视频网站播出。
https://baike.baidu.com/item/Netmarble/2540380,Netmarble,Netmarble（网石游戏）是韩国第一大手游公司。2017年5月，Netmarble即将启动韩国过去7年中规模最大的一笔IPO（首次公开招股）。
https://baike.baidu.com/item/Berserker/27438,狂战士（《Fate》系列中的用语）,《Fate》系列中对作为从者的英灵进行定位而使用的用语，正规七职阶之一。曾在战斗中疯狂的英雄适合此阶位。通常Servant能够发挥原始英灵的性能就是理想的状态。但是“狂化”会以剥夺理性为交换，对Servant进行超越英灵性能的强化。本来是强化弱小英灵的职阶。
https://baike.baidu.com/item/%E5%8D%AB%E5%AE%AB/22267019,卫宫士郎（《Fate》系列中登场的Archer之一）,卫宫[Emiya]，TYPE-MOON的游戏作品及相关动画《Fate》系列中的人物，第五次圣杯战争时由远坂凛召唤出的从者，职阶是Archer。作为英灵的基本能力偏低，主要靠Servant中出现的众多投影产物和自身的战斗经验来弥补差距。精于近身格斗战及弓术，亦擅长对魔术战和家务，本体为未来的卫宫士郎成为守护者后的姿态。可以说是影子主角般的重要角色，《Fate/stay night》有一半可以说是这个男人的故事。
https://baike.baidu.com/item/%E7%88%B1%E5%BE%B7%E8%92%99%C2%B7%E5%94%90%E6%B3%B0%E6%96%AF/20123898,爱德蒙·邓蒂斯（《Fate/Grand Order》中登场的Servant）,也译作埃德蒙·唐泰斯，在TYPE-MOON推出的安卓&iOS游戏《Fate/Grand Order》中登场的Servant，职阶为Avenger。爱德蒙·唐泰斯是世界上知名度最高的复仇者。以外号「岩窟王（《基督山伯爵》的日译名）」广为人们所知。遭到恶毒阴谋的陷害，背上莫须有的罪名，被关进了地狱般的伊夫城监狱（Château d'If）。但拥有钢铁般意志的他并没有绝望，最终获得了基督山小岛上的财宝，回归巴黎——将那些巴黎有钱有势的人、也就是当年陷害自己的人拉向地狱。
https://baike.baidu.com/item/TYPE-MOON/586579,TYPE-MOON,TYPE-MOON是日本的游戏发行商有限会社ノーツ在发行游戏时所使用的商标名称。有限会社ノーツ的负责人为画家武内崇，而社名则来于作家奈须きのこ的作品《Notes.》。在一般认知上，其实“ノーツ=TYPE-MOON”。
https://baike.baidu.com/item/%E7%BE%8E%E6%9D%9C%E8%8E%8E/2113003,美杜莎（《Fate》系列中的Rider）,美杜莎。游戏及同名动画《Fate/stay night》中的角色。第五次圣杯战争中间桐樱所召唤出的Rider的Servant。拥有合乎职阶的机动力，持有技能、宝具的数量也是从者中的顶级。由于Master的权力被没有战斗意愿的樱转让给慎二，她屡次作为间桐慎二的Servant在卫宫士郎眼前登场。与伊莉雅丝菲尔·冯·爱因兹贝伦、Caster（美狄亚〔Lily〕）、Shielder都是作为游戏《Fate/stay night》废案女主角。
https://baike.baidu.com/item/%E9%98%BF%E6%AF%94%E7%9B%96%E5%B0%94%C2%B7%E5%A8%81%E5%BB%89%E5%A7%86%E6%96%AF/22240962,阿比盖尔·威廉姆斯,在TYPE-MOON推出的安卓&iOS游戏《Fate/Grand Order》中登场的Servant，职阶为Foreigner。本来是历史上作为塞勒姆女巫案中疑似被女巫毒害的受害者的阿比盖尔不知为何以克苏鲁神话的外神形态出现，后作为亚从者战斗。
https://baike.baidu.com/item/%E5%B0%BC%E7%A6%84%C2%B7%E5%85%8B%E5%8A%B3%E7%8B%84%E4%B9%8C%E6%96%AF/6960633,尼禄·克劳狄乌斯·凯萨·奥古斯都·日耳曼尼库斯（《Fate/EXTRA》登场角色）,尼禄·克劳狄乌斯·凯萨·奥古斯都·日耳曼尼库斯，日本对战游戏《Fate/EXTRA》及其衍生作品中角色。生前为古罗马正式帝政后的第五代皇帝。
https://baike.baidu.com/item/%E5%85%B0%E6%96%AF%E6%B4%9B%E7%89%B9/8979201,兰斯洛特（《Fate/Zero》中的角色）,兰斯洛特，日本轻小说《Fate/Zero》及其衍生作品中的角色。真实身份为古不列颠传说中被称为“湖上骑士”的最强圆桌骑士。于第四次圣杯战争以Berserker的职阶被召唤。
https://baike.baidu.com/item/%E6%96%AF%E5%8D%A1%E5%93%88/17997265,斯卡哈（《Fate/Grand Order》中的Lancer之一）,斯卡哈，在TYPE-MOON推出的安卓&iOS游戏《Fate/Grand Order》中登场的Servant。“枪之一击若至化境，弑神亦只在翻掌之间。”操使魔枪、具备王者气质的女性。同时也是有才能的老师，将众多的弟子培育成战士或是魔术师。也许是以人身踏入神域的惩罚，受到了数不尽的诅咒。
https://baike.baidu.com/item/%E5%A5%88%E9%A1%BB%E8%98%91%E8%8F%87/3761744,奈须蘑菇,奈须蘑菇（1973年11月28日－），日本知名脚本家与小说家。毕业于法政大学大学院人文科学研究科。由于不公开露面，因此曾因名字的汉字写法惹来性别上的猜测，本人只自称“雄”并自称为男性，实际已得到证明。常使用的自画像是一颗蘑菇怪物。与武内崇为中学的好友，两人共同成立了“TYPE-MOON”，2000年发表游戏《月姬》，奈须负责剧本。2003年商业化成立游戏公司“Notes”（ノーツ）。2004年发表游戏《Fate/stay night》，同样担任游戏脚本原案。现于讲谈社的“浮士德（ファウスト）”连载小说《DDD》（Decoration Disorder Disconnection）。
https://baike.baidu.com/item/%E5%9D%82%E6%9C%AC%E7%9C%9F%E7%BB%AB/5854624,坂本真绫,坂本真绫，1980年3月31日出生于日本东京都板桥区。日本女性声优、歌手、演员、词曲创作人、电台主持、随笔作家。东洋大学社会学部毕业，所属事务所为fortunerest，唱片公司为Flying Dog。幼年时进入剧团以童星身份开始舞台表演和外国电影配音工作；15岁时被音乐制作人菅野洋子发掘，开始以个人名义开始音乐活动；1996年推出个人首张单曲《约束はいらない》；2010年在日本武道馆举行《坂本真绫15周年记念LIVE“Gift”》个人演唱会，成为第五位登上该舞台的声优；同时还以词曲创作人的身份为自己以及其他歌手作词、作曲，并尝试参与专辑制作；为演员娜塔丽·波特曼的日本译制片固定配音员。代表作品有《黑执事》夏尔·凡多姆海恩、《空之境界》两仪式、《机动战士高达SEED DESTINY》露娜玛利亚·霍克、《樱兰高校男公关部》藤冈春绯、《物语系列》忍野忍等；
