h_number,h_name,h_score,h_price,h_address,h_link
4,如家精选酒店上海五角场店,4.8,499,位于五角场商业区，上海杨浦区国定东路255号，中环国际大厦附近,http://hotel.qunar.com/city/shanghai_city/dt-23936/?tag=shanghai_city#fromDate=2019-04-13&toDate=2019-04-14&q=&from=qunarHotel&fromFocusList=0&filterid=95137603-fc4d-4824-9474-a8e0be925808&showMap=0&qptype=&QHFP=ZSS_A83506DF/
5,麗枫酒店(上海虹桥枢纽店),4.9,368,位于闵行区，上海闵行区顾戴路3039号,http://hotel.qunar.com/city/shanghai_city/dt-41729/?tag=shanghai_city#fromDate=2019-04-13&toDate=2019-04-14&q=&from=qunarHotel&fromFocusList=0&filterid=95137603-fc4d-4824-9474-a8e0be925808&showMap=0&qptype=&QHFP=ZSS_A83506DF/
6,景莱城市轻奢酒店(上海新静安北外滩店),4.7,405,位于四川北路商业区，上海静安区公兴路279号，靠近上海市中医医院,http://hotel.qunar.com/city/shanghai_city/dt-60479/?tag=shanghai_city#fromDate=2019-04-13&toDate=2019-04-14&q=&from=qunarHotel&fromFocusList=0&filterid=95137603-fc4d-4824-9474-a8e0be925808&showMap=0&qptype=&QHFP=ZSS_A83506DF/
7,上海携程美居酒店,4.8,503,位于虹桥地区，上海长宁区福泉路99号(近虹桥枢纽)，凌空SOHO附近,http://hotel.qunar.com/city/shanghai_city/dt-47556/?tag=shanghai_city#fromDate=2019-04-13&toDate=2019-04-14&q=&from=qunarHotel&fromFocusList=0&filterid=95137603-fc4d-4824-9474-a8e0be925808&showMap=0&qptype=&QHFP=ZSS_A83506DF/
8,维也纳国际酒店(上海金山城市沙滩店),5.0,208,位于金山区，上海金山区卫清东路2848号,http://hotel.qunar.com/city/shanghai_city/dt-61044/?tag=shanghai_city#fromDate=2019-04-13&toDate=2019-04-14&q=&from=qunarHotel&fromFocusList=0&filterid=95137603-fc4d-4824-9474-a8e0be925808&showMap=0&qptype=&QHFP=ZSS_A83506DF/
9,上海凯宾斯基大酒店,4.6,1271,位于浦东陆家嘴，上海浦东新区陆家嘴环路1288号，靠近时代金融中心,http://hotel.qunar.com/city/shanghai_city/dt-4760/?tag=shanghai_city#fromDate=2019-04-13&toDate=2019-04-14&q=&from=qunarHotel&fromFocusList=0&filterid=95137603-fc4d-4824-9474-a8e0be925808&showMap=0&qptype=&QHFP=ZSS_A83506DF/
10,上海虹桥世茂睿选尚品酒店,4.6,549,位于虹桥地区，上海长宁区福泉北路505号，凌空SOHO附近,http://hotel.qunar.com/city/shanghai_city/dt-24364/?tag=shanghai_city#fromDate=2019-04-13&toDate=2019-04-14&q=&from=qunarHotel&fromFocusList=0&filterid=95137603-fc4d-4824-9474-a8e0be925808&showMap=0&qptype=&QHFP=ZSS_A83506DF/
11,途客中国酒店(上海虹桥延安西路店),4.9,528,位于虹桥地区，上海闵行区延安西路3190号,http://hotel.qunar.com/city/shanghai_city/dt-58669/?tag=shanghai_city#fromDate=2019-04-13&toDate=2019-04-14&q=&from=qunarHotel&fromFocusList=0&filterid=95137603-fc4d-4824-9474-a8e0be925808&showMap=0&qptype=&QHFP=ZSS_A83506DF/
12,上海裕景大饭店,4.5,640,位于浦东陆家嘴，上海浦东新区浦东大道535号，上海东方医院附近,http://hotel.qunar.com/city/shanghai_city/dt-2321/?tag=shanghai_city#fromDate=2019-04-13&toDate=2019-04-14&q=&from=qunarHotel&fromFocusList=0&filterid=95137603-fc4d-4824-9474-a8e0be925808&showMap=0&qptype=&QHFP=ZSS_A83506DF/
13,上海虹桥CitiGO欢阁酒店,5.0,365,位于虹桥地区，上海闵行区金汇路465号，合川大厦附近,http://hotel.qunar.com/city/shanghai_city/dt-2221/?tag=shanghai_city#fromDate=2019-04-13&toDate=2019-04-14&q=&from=qunarHotel&fromFocusList=0&filterid=95137603-fc4d-4824-9474-a8e0be925808&showMap=0&qptype=&QHFP=ZSS_A83506DF/
