h_number,h_name,h_score,h_price,h_address,h_link
1-30,成都豪悦四季酒店,4.7,202,位于双流区，成都双流区珠江路600号韩国城2期5栋2单元，成都信息工程学院航空港校…,http://hotel.qunar.com/city/chengdu/dt-18712/?tag=chengdu#fromDate=2019-04-14&toDate=2019-04-15&q=&from=qunarHotel&fromFocusList=0&filterid=84c84239-0486-477d-a07f-df7907b6ba07&showMap=0&qptype=&QHFP=ZSS_A10015D4/
2-1,魅城凯冠酒店(成都西站青羊万达店),4.8,318,位于青羊区，成都青羊区日月大道一段978号青羊万达广场3栋2单元，成都市妇女儿童中心医院附近,http://hotel.qunar.com/city/chengdu/dt-16672/?tag=chengdu#fromDate=2019-04-14&toDate=2019-04-15&q=&from=qunarHotel&fromFocusList=0&filterid=869a63c6-2144-49bf-a0ae-6eba7a8283b7&showMap=0&qptype=&QHFP=ZSS_A1001631/
2-2,成都万达瑞华酒店,4.9,1018,位于华西坝，成都锦江区滨江中路9号，靠近四川大学华西校区东区…,http://hotel.qunar.com/city/chengdu/dt-14727/?tag=chengdu#fromDate=2019-04-14&toDate=2019-04-15&q=&from=qunarHotel&fromFocusList=0&filterid=869a63c6-2144-49bf-a0ae-6eba7a8283b7&showMap=0&qptype=&QHFP=ZSS_A1001631/
2-3,金科圣嘉酒店(成都武侯祠锦里店),4.7,288,位于双楠，成都武侯区二环路西一段80号双楠金科天都，靠近永顺路,http://hotel.qunar.com/city/chengdu/dt-18809/?tag=chengdu#fromDate=2019-04-14&toDate=2019-04-15&q=&from=qunarHotel&fromFocusList=0&filterid=869a63c6-2144-49bf-a0ae-6eba7a8283b7&showMap=0&qptype=&QHFP=ZSS_A1001631/
2-4,AIR·高空套房公寓(成都春熙路店),5.0,719,位于春熙路，成都青羊区大墙东街186号，靠近沃特国际通讯大厦,http://hotel.qunar.com//bnb.qunar.com/city/chengdu/dt-20210/?tag=chengdu#fromDate=2019-04-14&toDate=2019-04-15&q=&from=qunarHotel&fromFocusList=0&filterid=869a63c6-2144-49bf-a0ae-6eba7a8283b7&showMap=0&qptype=&QHFP=ZSS_A1001631/
2-5,成都瑞廷西郊酒店,4.8,568,位于高新区，成都武侯区剑南大道中段555号,http://hotel.qunar.com/city/chengdu/dt-24811/?tag=chengdu#fromDate=2019-04-14&toDate=2019-04-15&q=&from=qunarHotel&fromFocusList=0&filterid=869a63c6-2144-49bf-a0ae-6eba7a8283b7&showMap=0&qptype=&QHFP=ZSS_A1001631/
2-6,成都空港商务酒店,4.6,341,位于双流区，成都双流国际机场东一路50号,http://hotel.qunar.com/city/chengdu/dt-5364/?tag=chengdu#fromDate=2019-04-14&toDate=2019-04-15&q=&from=qunarHotel&fromFocusList=0&filterid=869a63c6-2144-49bf-a0ae-6eba7a8283b7&showMap=0&qptype=&QHFP=ZSS_A1001631/
2-7,成都瑞升·芭富丽大酒店,4.8,429,位于春熙路，成都成华区玉双路7号，四川电视塔附近,http://hotel.qunar.com/city/chengdu/dt-8380/?tag=chengdu#fromDate=2019-04-14&toDate=2019-04-15&q=&from=qunarHotel&fromFocusList=0&filterid=869a63c6-2144-49bf-a0ae-6eba7a8283b7&showMap=0&qptype=&QHFP=ZSS_A1001631/
2-8,全季酒店(成都春熙路太古里店),4.7,371,位于春熙路，成都锦江区东大街下东大街段21号香槟广场三区4层，紧挨春熙路地铁站E2口,http://hotel.qunar.com/city/chengdu/dt-19178/?tag=chengdu#fromDate=2019-04-14&toDate=2019-04-15&q=&from=qunarHotel&fromFocusList=0&filterid=869a63c6-2144-49bf-a0ae-6eba7a8283b7&showMap=0&qptype=&QHFP=ZSS_A1001631/
2-9,成都友豪锦江酒店,4.7,399,位于武侯区，成都武侯区武科东二路2号，西部智谷商务中心附近,http://hotel.qunar.com/city/chengdu/dt-5633/?tag=chengdu#fromDate=2019-04-14&toDate=2019-04-15&q=&from=qunarHotel&fromFocusList=0&filterid=869a63c6-2144-49bf-a0ae-6eba7a8283b7&showMap=0&qptype=&QHFP=ZSS_A1001631/
