h_number,h_name,h_score,h_price,h_address,h_link
1-26,麗枫酒店(深圳海雅缤纷城店),4.6,361,位于宝安中心区，深圳宝安区新安街道宝民一路18号，靠近海雅缤纷城,http://hotel.qunar.com/city/shenzhen/dt-14299/?tag=shenzhen#fromDate=2019-04-13&toDate=2019-04-14&q=&from=qunarHotel&fromFocusList=0&filterid=df7213e8-305d-4aeb-af4c-76b933332dcf&showMap=0&qptype=&QHFP=ZSS_A1216309/
1-27,深圳科创酒店,4.4,438,位于南油，深圳南山区南新路1024号阳光科创中心,http://hotel.qunar.com/city/shenzhen/dt-18257/?tag=shenzhen#fromDate=2019-04-13&toDate=2019-04-14&q=&from=qunarHotel&fromFocusList=0&filterid=df7213e8-305d-4aeb-af4c-76b933332dcf&showMap=0&qptype=&QHFP=ZSS_A1216309/
1-28,深圳龙华希尔顿逸林酒店,4.6,824,位于龙华新区，深圳龙华区东环二路8号，龙华地铁站A口附近,http://hotel.qunar.com/city/shenzhen/dt-13410/?tag=shenzhen#fromDate=2019-04-13&toDate=2019-04-14&q=&from=qunarHotel&fromFocusList=0&filterid=df7213e8-305d-4aeb-af4c-76b933332dcf&showMap=0&qptype=&QHFP=ZSS_A1216309/
1-29,深圳华侨城洲际大酒店,4.7,1170,位于华侨城，深圳南山区华侨城深南大道9009号，靠近何香凝美术馆,http://hotel.qunar.com/city/shenzhen/dt-1985/?tag=shenzhen#fromDate=2019-04-13&toDate=2019-04-14&q=&from=qunarHotel&fromFocusList=0&filterid=df7213e8-305d-4aeb-af4c-76b933332dcf&showMap=0&qptype=&QHFP=ZSS_A1216309/
1-30,深圳隐秀山居酒店,4.8,982,位于龙岗中心城，深圳龙岗区爱联街道宝荷路正中高尔夫球场内,http://hotel.qunar.com//bnb.qunar.com/city/shenzhen/dt-3976/?tag=shenzhen#fromDate=2019-04-13&toDate=2019-04-14&q=&from=qunarHotel&fromFocusList=0&filterid=df7213e8-305d-4aeb-af4c-76b933332dcf&showMap=0&qptype=&QHFP=ZSS_A1216309/
2-1,深圳中油阳光大酒店,4.5,519,位于南山中心区，深圳南山区南山大道1110号，南山医院附近,http://hotel.qunar.com/city/shenzhen/dt-313/?tag=shenzhen#fromDate=2019-04-13&toDate=2019-04-14&q=&from=qunarHotel&fromFocusList=0&filterid=733b5264-ab46-4ff1-a2ef-a3b994c17ff7&showMap=0&qptype=&QHFP=ZSS_A12164BB/
2-2,深圳凯宾斯基酒店,4.4,944,位于南山中心区，深圳南山区后海滨路海德三道，近海岸城购物中心，靠近海岸城,http://hotel.qunar.com/city/shenzhen/dt-2101/?tag=shenzhen#fromDate=2019-04-13&toDate=2019-04-14&q=&from=qunarHotel&fromFocusList=0&filterid=733b5264-ab46-4ff1-a2ef-a3b994c17ff7&showMap=0&qptype=&QHFP=ZSS_A12164BB/
2-3,深圳佳兆业万豪酒店,4.4,1362,位于大鹏新区大鹏，深圳大鹏新区棕榈大道33号,http://hotel.qunar.com/city/shenzhen/dt-12909/?tag=shenzhen#fromDate=2019-04-13&toDate=2019-04-14&q=&from=qunarHotel&fromFocusList=0&filterid=733b5264-ab46-4ff1-a2ef-a3b994c17ff7&showMap=0&qptype=&QHFP=ZSS_A12164BB/
2-4,维也纳酒店(深圳南新路店),4.8,377,位于南山中心区，深圳南山区南头街88号，南山医院附近,http://hotel.qunar.com/city/shenzhen/dt-695/?tag=shenzhen#fromDate=2019-04-13&toDate=2019-04-14&q=&from=qunarHotel&fromFocusList=0&filterid=733b5264-ab46-4ff1-a2ef-a3b994c17ff7&showMap=0&qptype=&QHFP=ZSS_A12164BB/
2-5,深圳光明希尔顿欢朋酒店,4.8,416,位于松岗，深圳光明区公明马田街道田园路雪仙丽雪仙丽科技大厦2-1004号,http://hotel.qunar.com/city/shenzhen/dt-18320/?tag=shenzhen#fromDate=2019-04-13&toDate=2019-04-14&q=&from=qunarHotel&fromFocusList=0&filterid=733b5264-ab46-4ff1-a2ef-a3b994c17ff7&showMap=0&qptype=&QHFP=ZSS_A12164BB/
